"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"RTO_COMPLETE","171450855025905088_1","2025-07-01","Uttarakhand","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","0b548J5X","30A","2","743.0","743.0","TFINM2106113327"
"DOOR_STEP_EXCHANGED","169729629157774848_1","2025-07-01","Madhya Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ","tmcA8cP5","28A","1","734.0","734.0","TFINM2106113308"
"DELIVERED","171494664996752832_1","2025-07-01","Bihar","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","0b548J5X","28A","1","743.0","743.0","TFINM2106113328"
"DELIVERED","171517392228110464_1","2025-07-01","Jharkhand","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","qQYkl0G-","L","1","743.0","743.0","TFINM2106113312"
"RTO_COMPLETE","171521490155048320_1","2025-07-01","Gujarat","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","0b548J5X","XL","1","743.0","743.0","TFINM2106113326"
"DELIVERED","171551939811708352_1","2025-07-01","Telangana","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","0b548J5X","XXL","1","743.0","743.0","TFINM2106113325"
"CANCELLED","168293388074976768_1","2025-07-01","West Bengal","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","9dp7lamI","34A","1","734.0","734.0",
"DELIVERED","171605452911119872_1","2025-07-01","Bihar","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","qQYkl0G-","36A","1","743.0","743.0","TFINM2106113320"
"DELIVERED","171675843805761664_1","2025-07-01","Maharashtra","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ","tmcA8cP5","36A","1","734.0","734.0","TFINM2106113307"
"DELIVERED","171846840672505984_1","2025-07-02","Rajasthan","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","0b548J5X","32A","1","743.0","743.0","TFINM2106113309"
"RTO_COMPLETE","171869964268047808_1","2025-07-02","Odisha","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","0b548J5X","L","1","743.0","743.0","TFINM2106113311"
"RTO_COMPLETE","171960464161997440_1","2025-07-02","Rajasthan","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","0b548J5X","L","1","743.0","743.0","TFINM2106113313"
"DELIVERED","171962535254786752_1","2025-07-02","Tamil Nadu","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","9dp7lamI","32A","1","734.0","734.0","TFINM2106113305"
"DOOR_STEP_EXCHANGED","169838531112633664_1","2025-07-02","Punjab","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","0b548J5X","30A","2","743.0","743.0","TFINM2106113310"
"DELIVERED","171999164551414912_1","2025-07-02","West Bengal","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ","W_FeGfER","XL","1","734.0","734.0","TFINM2106113314"
"DELIVERED","172061520669197504_1","2025-07-03","Maharashtra","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","0b548J5X","XL","1","743.0","743.0",
"DELIVERED","172223855398782592_1","2025-07-03","Uttar Pradesh","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","0b548J5X","XXL","1","743.0","743.0","TFINM2106113287"
"DELIVERED","172233129589752832_1","2025-07-03","Kerala","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ","W_FeGfER","XL","1","734.0","734.0","TFINM2106113299"
"CANCELLED","172234189428065600_1","2025-07-03","Tamil Nadu","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","0b548J5X","XXL","1","743.0","743.0",
"DELIVERED","172245055937987328_1","2025-07-03","West Bengal","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","9dp7lamI","M","1","734.0","734.0","TFINM2106113301"
"DELIVERED","172267519732630528_1","2025-07-03","Haryana","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","9dp7lamI","XXL","1","734.0","734.0","TFINM2106113300"
"DELIVERED","172293588064175744_1","2025-07-03","Tamil Nadu","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","9dp7lamI","M","1","734.0","734.0","TFINM2106113302"
"DELIVERED","172333803541661312_1","2025-07-03","Rajasthan","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ","tmcA8cP5","28A","1","734.0","734.0","TFINM2106113303"
"DELIVERED","172360515163320448_1","2025-07-03","Maharashtra","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","0b548J5X","XL","1","743.0","743.0","TFINM2106113304"
"DELIVERED","172385631935432320_1","2025-07-03","Maharashtra","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ","W_FeGfER","XXL","1","734.0","734.0","TFINM2106113298"
"DELIVERED","172401397159969792_1","2025-07-03","Rajasthan","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","0b548J5X","XL","1","743.0","743.0","TFINM2106113286"
"DELIVERED","172404364244780352_1","2025-07-03","Odisha","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","9dp7lamI","28A","1","734.0","734.0","TAIARDF10879838"
"DELIVERED","172414253070828544_1","2025-07-04","Karnataka","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout ","W_FeGfER","L","1","734.0","734.0","TFINM2106113290"
"DELIVERED","172442405583209472_1","2025-07-04","Delhi","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","9dp7lamI","XXL","1","734.0","734.0","TFINM2106113285"
"DELIVERED","172534298103612736_1","2025-07-04","Tamil Nadu","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","9dp7lamI","XXL","1","734.0","734.0","TFINM2106113288"
"DOOR_STEP_EXCHANGED","168610715098776704_1","2025-07-04","Maharashtra","Women's Cotton Front Hook Bra - Deep Panel & Molded Cups for Everyday Comfort","Cotton Front Hook Bra","M","1","780.0","780.0","TFINM2106113293"
"RTO_COMPLETE","172646972824503296_1","2025-07-04","Bihar","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","0b548J5X","32A","1","743.0","743.0","TFINM2106113294"
"DELIVERED","172666608660005888_1","2025-07-04","Delhi","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","9dp7lamI","XXL","1","734.0","734.0","TAIARDF10879844"
"DELIVERED","172713985229779072_1","2025-07-04","Bihar","Women Polyester Spandex High Impact Front Zip Sports Bra Longline Fitness Criss Cross Back Crop Tops for Gym, Yoga & Workout","9dp7lamI","28A","1","734.0","734.0","TFINM2106113295"
